"code_header_id","code_category_id","code_header_name","code_header_title","code_header_description","valid_from","valid_to","created_at","updated_at","created_by_user_id","updated_by_user_id"
3,1,animal_status,Animal Status,mortality status of the animal,2020-10-22 10:56:08,,2020-10-22 10:56:08,2020-10-22 10:56:08,1,
177,1,juvenile_at_heel,Juvenile At Heel,"Fledged birds before their first winter, mammals older than neonates but still requiring parental care, and reptiles and amphibians of adult form that are significantly smaller than adult size.",2021-03-02 08:42:18,,2021-03-02 08:42:18,2021-03-02 08:42:18,1,
4,1,device_make,Device Make,The manufacturer of a device,2020-10-22 10:58:15,,2020-10-22 10:58:15,2020-10-22 10:58:15,1,
144,1,device_status,Device Status,The functional status of a device,2020-11-10 10:28:28,,2020-11-10 10:28:28,2020-11-10 10:28:28,1,
178,1,device_deployment_status,Device Deployment Status,The deployment status of a device.,2021-03-02 09:28:32,,2021-03-02 09:28:32,2021-03-02 09:28:32,1,
147,1,device_type,Device Type,Type of tracking device,2020-11-23 15:39:08,,2020-11-23 15:39:08,2020-11-23 15:39:08,1,
179,1,life_stage,Life Stage,The life stage of the individual.,2021-03-02 09:49:50,,2021-03-02 09:49:50,2021-03-02 09:49:50,1,
181,1,sex,Sex,A code indicating the sex of the individual.,2021-03-02 10:45:13,,2021-03-02 10:45:13,2021-03-02 10:45:13,1,
139,1,population_unit,Population Unit,"A code indicating the species' population unit (e.g., SnSa). Population unit is a generic term for a provincially defined, geographically discrete population of a species. E.g., for grizzly bear they are called 'population units'; for caribou they are called 'herds'; for moose they are called 'game-management zones'.",2020-10-29 13:51:53,,2020-10-29 13:51:53,2020-10-29 13:51:53,1,
145,1,satellite_network,Satellite Network,The Satellite Network of GPS collar,2020-11-10 10:31:00,,2020-11-10 10:31:00,2020-11-10 10:31:00,1,
2,1,species,Species,types of animal species,2020-10-22 10:55:07,2021-03-19 16:02:21,2020-10-22 10:55:07,2020-10-22 10:55:07,1,
182,1,frequency_unit,Frequency Unit Code,"A code indicating the frequency-unit used when recording the Frequency of a tag or mark, e.g., kHz.",2021-03-02 17:16:38,,2021-03-02 17:16:38,2021-03-02 17:16:38,1,
183,1,map_colour,Colour,a colour palette assigned to an animal for displaying points on the 2D map,2021-04-14 15:13:43,,2021-04-14 15:13:43,2021-04-14 15:13:43,1,
1,1,region,Region,BC Gov Region,2020-10-22 10:52:32,,2020-10-22 10:52:32,2020-10-22 10:52:32,1,
180,1,device_malfunction_type,Device Malfunction Type,Reason device has malfunctioned,2021-03-02 09:54:20,,2021-03-02 09:54:20,2021-03-02 09:54:20,1,
195,1,associated_animal_relationship,Associated Animal Relationship,Associated animal relationship,2021-08-25 11:33:24,,2021-08-25 11:33:24,2021-08-25 11:33:24,,
197,1,mortality_habitat,Mortality Habitat,Where did the mortality occur,2021-08-25 11:44:23,,2021-08-25 11:44:23,2021-08-25 11:44:23,,
184,1,basic_colour,Basic Colour,Simple colours used for any purpose,2021-05-04 08:08:00,,2021-05-04 08:08:00,2021-05-04 08:08:00,1,
192,1,ultimate_cause_of_death,Ultimate Cause of Death,Confirmed reason animal died,2021-08-25 11:52:24,,2021-08-25 11:52:24,2021-08-25 11:52:24,,
191,1,offline_type,Offline Type,Cause of device to not be transmitting data,2021-08-25 12:01:22,,2021-08-25 12:01:22,2021-08-25 12:01:22,,
190,1,device_condition,Device Condition,Condition of device upon retrieval,2021-08-25 12:03:10,,2021-08-25 12:03:10,2021-08-25 12:03:10,,
189,1,dropoff_mechanism,Dropoff Mechanism,Dropoff mechanism type,2021-08-25 12:05:28,,2021-08-25 12:05:28,2021-08-25 12:05:28,,
188,1,fix_unit,Fix Unit,Unit of time for fix_interval,2021-08-25 12:06:46,,2021-08-25 12:06:46,2021-08-25 12:06:46,,
187,1,mortality_investigation,Mortality Investigation,Where was mortality confirmed,2021-08-25 11:49:11,,2021-08-25 11:49:11,2021-08-25 11:49:11,,
186,1,proximate_cause_of_death,Proximate Cause of Death,reasons the animal may have died,2021-08-25 12:17:53,,2021-08-25 12:17:53,2021-08-25 12:17:53,,
196,1,recapture,Recapture,Recapture yes/no,2021-08-25 12:31:02,2021-08-26 12:49:18,2021-08-25 12:31:02,2021-08-25 12:31:02,,
199,1,ucod_confidence,Ultimate Cause Of Death Confidence,Cofidence of assigning cause of death,2021-09-13 11:52:17,2021-09-13 12:04:34,2021-09-13 11:52:17,2021-09-13 11:52:17,,
198,1,cod_confidence,Cause of Death Confidence,Confidence of assigning cause of death,2021-09-13 11:47:18,,2021-09-13 11:47:18,2021-09-13 11:47:18,,
